#this file is all decimal
#valid lines are 4 space-separated numbers
#red, green, blue, nes
#input images are coerced into nes colors

#first four entries are used as the grey image palette

  0   0   0 63
 84  84  84  0
152 150 152 16
236 238 236 32


  0  30 116  1
  8  16 144  2
 48   0 136  3
 68   0 100  4
 92   0  48  5
 84   4   0  6
 60  24   0  7
 32  42   0  8
  8  58   0  9
  0  64   0 10
  0  60   0 11
  0  50  60 12

  8  76 196 17
 48  50 236 18
 92  30 228 19
136  20 176 20
160  20 100 21
152  34  32 22
120  60   0 23
 84  90   0 24
 40 114   0 25
  8 124   0 26
  0 118  40 27
  0 102 120 28

 76 154 236 33
120 124 236 34
176  98 236 35
228  84 236 36
236  88 180 37
236 106 100 38
212 136  32 39
160 170   0 40
116 196   0 41
 76 208  32 42
 56 204 108 43
 56 180 204 44
 60  60  60 45

236 238 236 48
168 204 236 49
188 188 236 50
212 178 236 51
236 174 236 52
236 174 212 53
236 180 176 54
228 196 144 55
204 210 120 56
180 222 120 57
168 226 144 58
152 226 180 59
160 214 228 60
160 162 160 61
